NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS,SG_PARTIDO
ALBERANE DE SOUSA MARQUES,72795,PREFEITO,3348,REPUBLICANOS
SIRON QUEIROZ DOS SANTOS,72550.3,PREFEITO,1686,SOLIDARIEDADE
MARCOS RODRIGUES COSTA,72300,PREFEITO,982,PP
WAGNER VAZ DA SILVA,72292.5,PREFEITO,1468,PP
RICARDO FRANCISCO GOULART,72203.83,PREFEITO,2194,MDB
MARTINHO MENDES DA SILVA,72180,PREFEITO,724,PL
CELIARA CRISTINA COSTA,72100,PREFEITO,486,PDT
RODRIGO RODRIGUES BERNARDES PALAZZO,72000,PREFEITO,993,DEM
WALEX GUEDES FERREIRA DE MACÊDO,71978.65,PREFEITO,1408,PODE
BRUNO CESAR RUFINO DE SIQUEIRA,71500,PREFEITO,3208,MDB
ELIETY RODRIGUES PEREIRA,71000,PREFEITO,1377,DEM
NRONER DE PAULA E SILVA,70982,PREFEITO,778,CIDADANIA
JULIANA IZABEL DE PAULA COSTA,70968,PREFEITO,1770,DEM
FABRICIO SAMPAIO DA ROCHA,70810.20000000001,PREFEITO,1417,DEM
JUVENAL FERNANDES DE ALMEIDA,70350,PREFEITO,1990,PL
ROBERTO JOÃO DE OLIVEIRA,70000,PREFEITO,1418,MDB
EDNALDO ANDRADE MIGUEL,69900,PREFEITO,1590,PSD
CARLOS EDUARDO PEREIRA TERRA,69450,PREFEITO,3240,DEM
ANDREIA LINS DEPOLLO,68950,PREFEITO,1739,PDT
EDUARDO TALVANI DE LIMA COUTO,68445,PREFEITO,1563,PSC
JORGE CÉSAR DOS ANJOS ANTONINI,68193.09,PREFEITO,1462,PT
IRIS MARTINS PARREIRA,68151,PREFEITO,8799,MDB
EDY CARLOS GONÇALVES,68100.9,PREFEITO,1207,PSDB
LAURISMAR BATISTA BORGES,67500,PREFEITO,1463,DEM
CEBIO MACHADO DO NASCIMENTO,67467.44,PREFEITO,3705,MDB
JOÃO PEREIRA DA SILVA NETO,67325.25,PREFEITO,560,MDB
JOSE WILLIAN COELHO DE PAULA,67150,PREFEITO,1698,PL
UBIRAJARA ANTÔNIO DUARTE JUNIOR,67102.87,PREFEITO,1015,DEM
FELIPI DE SOUSA CAMPOS,66140,PREFEITO,2282,DEM
ANDRE LUIZ BORGES PIO,66100,PREFEITO,1691,PSDB
EURIPEDES GONÇALVES BARROS,66012,PREFEITO,1766,PTB
IOLANDA HOLICENI MOREIRA DOS SANTOS,65983.38,PREFEITO,3012,DEM
LAERTE DOURADO DOS SANTOS,65230.9,PREFEITO,1344,PP
DOLORES CRISTINA LEANDRO NEVES,65183.21,PREFEITO,1792,DEM
JOSÉ ANTÔNIO DA SILVA,65104.619999999995,PREFEITO,1338,PL
JÚNIOR CÉSAR BATISTA DE ALMEIDA,65000,PREFEITO,107,PATRIOTA
VALDESSON VIEIRA JUNIOR,64992,PREFEITO,1401,DEM
JOSE CARLOS BARBOSA,64820,PREFEITO,1670,PSC
ODAIR SIVIRINO LEONEL,64715,PREFEITO,2864,DEM
MACKSON DEYVIDE DE ALMEIDA SOUSA,64593.05,PREFEITO,2373,PSC
DAVES SOARES DA SILVA,64583,PREFEITO,1287,PSDB
ISTEINER ABREU ALVES DE OLIVEIRA,64319,PREFEITO,1690,CIDADANIA
CLEOMAR HENRIQUE DE SOUSA,63700,PREFEITO,980,MDB
MARLENILTON MACHADO FAGUNDES,63345,PREFEITO,1568,DEM
JOÃO FLÁVIO CAIXETA,63280,PREFEITO,3652,PSB
MARCUS VINICIUS AZEREDO COSTA,63203.65,PREFEITO,2091,CIDADANIA
AILTON MARTINS DE OLIVEIRA,63092.5,PREFEITO,1548,CIDADANIA
ENGELL SANTOS,62198.9,PREFEITO,1556,PSL
WILSON JOSE FERREIRA,62149.95,PREFEITO,1046,PMN
ZENILTON NERES DA COSTA,61880.9,PREFEITO,12947,PL
CASSIA SILVIA CAIXETA DOURADO,61660,PREFEITO,1794,PSDB
RODRIGO PEREIRA FONSECA,61300,PREFEITO,1715,DEM
CLÁUDIO CHAVES MOREIRA,61226.5,PREFEITO,2778,PRTB
VALDEMIR RODRIGUES DE MORAIS,61002.35,PREFEITO,2049,PODE
DEUSDETE JOSÉ DE ANDRADE,60850,PREFEITO,2759,PDT
LUIZ FAVORITO DA SILVA NETO,60652,PREFEITO,448,PDT
REGINALDO BASILIO DE OLIVEIRA,60600,PREFEITO,1582,MDB
RENATO DAMASIO RESENDE,60541.25,PREFEITO,976,PODE
GILBER ROQUE PEREIRA DE MIRANDA,60393.02,PREFEITO,1517,PP
ANATAIR ANTONIO SANTANA,60346.28,PREFEITO,1389,PSD
OTANIEL BRAZ DE PAULA,60335.69,PREFEITO,272,CIDADANIA
JOSE AIRTON DE OLIVEIRA,60025,PREFEITO,2873,DEM
ANTÔNIO EVANDO BATISTA FARIA,60000,PREFEITO,258,PSL
MARCOS ANTÔNIO FERREIRA DA LUZ,60000,PREFEITO,213,PDT
MESSIAS DA MOTA PAES NETO,60000,PREFEITO,305,PSL
NATANAEL CAETANO DO NASCIMENTO,60000,PREFEITO,1088,PDT
CASSIO GUSMÃO DE OLIVEIRA,59590,PREFEITO,1914,DEM
GISMAR RITA DA SILVA,59359.74,PREFEITO,770,PATRIOTA
EDIMILSON ALVES DOS SANTOS,59302.51,PREFEITO,1806,PP
GILMAR JOSE DE FREITAS GUIMARAES,59214.4,PREFEITO,3598,CIDADANIA
JOÃO CÉZAR DA FONSECA,59008,PREFEITO,2512,PSDB
RODOLFO VALENTE LIMA,59000,PREFEITO,3467,PSD
FELIPE ANTONIO DIAS,58900,PREFEITO,4487,MDB
HAROLDO NAVES SOARES,58319.03,PREFEITO,2175,MDB
CARLOS HENRIQUE RODRIGUES PEREIRA,58097.5,PREFEITO,1777,PP
JUSCELINO CAFÉ DE OLIVEIRA,57950,PREFEITO,680,PP
LEANDRO MUNIZ RIBEIRO,57950,PREFEITO,337,PSL
GILTON ROSA RODRIGUES,57866.26,PREFEITO,122,PSL
ADELINO SOUZA AQUINO,57544.27,PREFEITO,2144,PDT
MARCIO CECILIO CECILIANO,57297.5,PREFEITO,1307,PP
JOSÉ EDUARDO OLIVEIRA NETO,57280,PREFEITO,1820,SOLIDARIEDADE
DEMEVALDO DONIZETE FERREIRA,57100,PREFEITO,1070,PSDB
ENIO EURIPEDES DA CUNHA,57027.34,PREFEITO,768,PSB
SEBASTIÃO RODRIGUES GOMES FILHO,56805.25,PREFEITO,3001,PODE
ALCEU BARRETO CARDOSO FILHO,56720,PREFEITO,407,PL
ANA PAULA RODRIGUES CATOIRA,56600.7,PREFEITO,473,MDB
JOSEME PEREIRA LOPES,56600,PREFEITO,1096,PP
ANTONIO CICERO ALVES,56585,PREFEITO,914,PTB
SOLIMAR CARDOSO DE SOUZA,55683.2,PREFEITO,1230,PSC
VALERIA FERREIRA DOS SANTOS,55078.2,PREFEITO,866,PDT
JOSE RODRIGUES DE LIMA NETO,55075.34,PREFEITO,3615,PATRIOTA
WALDILEI JOSE DE LEMOS,55000,PREFEITO,2255,DEM
ROGÉRIO LABANCA NETO,54550,PREFEITO,1756,PSDB
RAFAEL PEREIRA MACHADO FRANCO,54316.46,PREFEITO,1824,DEM
DOMINGOS DE JESUS SOUSA FONSECA,54307.75,PREFEITO,225,PTB
WOLNEI MOREIRA DA SILVA,54252,PREFEITO,1044,PSB
ERISVAL MARTINS DE ASSUNÇÃO,53578,PREFEITO,1642,PDT
BALTAZAR LUIZ DA SILVA,53562,PREFEITO,1125,DEM
ANTONIO MARTINS DE QUEIROZ,53500,PREFEITO,1873,DEM
ANTONIO RUFINO DE LIMA,53456.23,PREFEITO,1319,MDB
JOÃO GLADSTON DE PAULA REIS SÁ,53435,PREFEITO,1942,PL
CREONIR BORGES DE OLIVEIRA,53432.82,PREFEITO,2238,PSC
FERNANDA OLIVEIRA CAETANO RIOS,52944,PREFEITO,959,PSC
CLÁUDIO HENRIQUE CAIXETA,52605,PREFEITO,2118,PRTB
JOSÉ TOMÉ CORREIA FILHO,52500,PREFEITO,1034,PSDB
ELVILÁSIO LIMIRIO DE LIMA,52000,PREFEITO,1151,PL
WALDECI PEREIRA DE MORAIS GOMES,52000,PREFEITO,529,PDT
EULER GUIMARÃES E SILVA,51850,PREFEITO,1789,PODE
WÂNIA CORREA DE ARAUJO OLIVEIRA,51690.380000000005,PREFEITO,637,PSL
FRANCISCO DE ASSIS PINHO MAIA,51531.95,PREFEITO,42,PATRIOTA
OLIVAR CAETANO DE SOUZA,51500,PREFEITO,382,PSD
FLÁVIO DE MELO E SILVA,51188.65,PREFEITO,1103,PSL
LAÉCIO PINHEIRO DE SOUZA,51115,PREFEITO,1933,CIDADANIA
FRANK MOREIRA RANGEL,50986,PREFEITO,831,PSDB
ROSANGELA ALVES DOS REIS,50874,PREFEITO,1484,DEM
JUSTINIANO CASTILHO PRADO,50826,PREFEITO,1091,REPUBLICANOS
FABIANO QUEIROZ CAPUZZO,50720,PREFEITO,2482,PDT
DELMIRO DE OLIVEIRA CANO,50718,PREFEITO,1545,PODE
LUIZ HENRIQUE DA SILVA MOREIRA,50402.35,PREFEITO,711,DEM
EDMAR BORGES DE LIMA,50144.35,PREFEITO,1020,PP
JOAQUIM CRAVEIRO CURADO,50000,PREFEITO,87,PSD
CHARLLES BRUNO BORGES MIRANDA,49934.15,PREFEITO,1540,REPUBLICANOS
CLAUDINEI DIVINO RESENDE,49623,PREFEITO,975,PODE
HUGO DELEON DE CARVALHO COSTA,49519.229999999996,PREFEITO,1856,CIDADANIA
EDUARDO JESUS DE REZENDE FRAGA,49484.7,PREFEITO,1125,MDB
HELFER HENRIQUE PINHEIRO,49332.75,PREFEITO,1604,MDB
JOÃO BATISTA GOMES,49134.46,PREFEITO,1131,PSDB
SILVIO ISAC DE SOUZA,49042.2,PREFEITO,1353,MDB
MILTON LEMES DE PAULA,48998,PREFEITO,2740,PSD
CLEMERSON LOPES DA SILVA,48582.6,PREFEITO,1116,PL
OGUIMAR JOSÉ VICENTE,48400,PREFEITO,747,DEM
WESLEY PEREIRA DE SOUSA,48300,PREFEITO,814,DEM
CLENILDA MELQUIADES DOS SANTOS,48000,PREFEITO,2133,AVANTE
CARLOS TADEU ROCHA VIEIRA,47974.79,PREFEITO,1477,DEM
JURANDIR AUGUSTO DA SILVA,47209.22,PREFEITO,3177,CIDADANIA
GILVANDER ALVES PEREIRA,46957.49,PREFEITO,2175,PSDB
MARCELO MARTINS DE PAIVA,46800,PREFEITO,621,MDB
EDUARDO COSTA SANCHES,46053.8,PREFEITO,594,PODE
EDMAR DE ASSIS SILVA,46000,PREFEITO,1864,MDB
IRON ALVES MONTEIRO,45998.45,PREFEITO,3443,PL
VILMAR DA SILVA QUEIROZ,45625.18,PREFEITO,235,PSL
LEONARDO DE OLIVEIRA BRITO,45612.4,PREFEITO,2134,MDB
ALEXANDRE ALCINO SILVA,45245,PREFEITO,858,PP
RENATO SIROTTO CARVALHO,45199.6,PREFEITO,1243,PP
FERNANDO ROSA SOARES,45100,PREFEITO,2058,PSDB
ADELMO BARBOSA SEVERINO,45055.740000000005,PREFEITO,1460,DEM
OVARCI VILELA FARIA,44965.1,PREFEITO,1329,DEM
MARGONZAGUE SAMPAIO,44826.88,PREFEITO,1491,PT
JOSÉ ANTÔNIO DO PRADO,44600,PREFEITO,2226,PDT
JOAQUIM GONÇALVES PACHECO,44331.81,PREFEITO,96,PSL
ADÃO NAZIR MARTINS SILVA FILHO,44315.520000000004,PREFEITO,213,PSL
HAMILTON ROSEIRO RODRIGUES DA CUNHA,44200,PREFEITO,685,DC
RODRIGO DE TOLEDO ACHCAR,44014.3,PREFEITO,549,PSD
LEO ANTONIO DE ALMEIDA,43860,PREFEITO,1145,MDB
VALDIVINO MARTINS DA SILVA,43649.08,PREFEITO,1232,CIDADANIA
DASIO MARQUES FERREIRA,43300,PREFEITO,1423,PDT
VERA LÚCIA IZÍDIO VIEIRA PASSOS,43222.7,PREFEITO,1031,CIDADANIA
MARIA APARECIDA MAGALHAES FURTADO MACEDO,43135.6,PREFEITO,1022,PL
BRAZ DIVINO MACEDO,43053,PREFEITO,423,PATRIOTA
NEY FABIO DE NOVAES,42591.95,PREFEITO,1187,PT
DEOCLECIANO ARAUJO DE LIRA,42092.4,PREFEITO,1732,DEM
VALTENIR GONÇALVES DA SILVA,42060,PREFEITO,2354,DEM
JOÃO BATISTA CARVALHO,42000,PREFEITO,1909,PODE
ALLISSON HENRIQUE BARBOSA PEIXOTO,41800,PREFEITO,2433,DEM
HAMILTON BORGES DA SILVA,41494.04,PREFEITO,1899,PSL
EDSON PINTO RIBEIRO,41445.4,PREFEITO,372,CIDADANIA
GENESIO JOSE ROSA,41245.57,PREFEITO,2130,DEM
ELADIR DE PAULA RIBEIRO,41112.5,PREFEITO,914,PP
CICERO ALVES JACINTO,41090,PREFEITO,2136,PRTB
JOSE GARCIA DE SOUZA,41018,PREFEITO,2313,PSDB
ADONAI SALES DE ANDRADE,41000,PREFEITO,568,PODE
ADÃO RODRIGUES DE OLIVEIRA,40450,PREFEITO,1138,PATRIOTA
SULEYMMAN SANTHARA PAIVA ARAÚJO,40342.020000000004,PREFEITO,669,PTB
ALADIR FERREIRA DE FARIAS,40213,PREFEITO,397,PODE
MARILDO VAZ MACHADO,40195,PREFEITO,1737,DEM
KATTYA MARIA BAPTISTA DE OLIVEIRA,40000,PREFEITO,58,PSL
ELIVAN RIBEIRO DOS SANTOS,39652.79,PREFEITO,1364,DEM
RICARDO MARQUES VIEIRA,39350,PREFEITO,232,PSDB
ROGERIO TELES DOS SANTOS,39297,PREFEITO,869,MDB
JANIO FERREIRA ALVES,39205.66,PREFEITO,409,PT
JOSE RIBEIRO DE ARAUJO,38735.13,PREFEITO,1253,PP
RENIS CESAR DE OLIVEIRA,38600,PREFEITO,1477,DEM
SEBASTIÃO DE FREITAS NETO,38500,PREFEITO,1471,MDB
EDINALDO MOREIRA DOS SANTOS,38464.049999999996,PREFEITO,1150,DEM
ADELCIDES JOAQUIM SANTANA FILHO,38384.84,PREFEITO,1462,DEM
JAIR PEREIRA DA SILVA,38045,PREFEITO,1050,DEM
GISELE LISBOA ROCHA,37868.67,PREFEITO,199,PODE
CARLOS ALBERTO RIBEIRO DE MOURA,37750,PREFEITO,596,MDB
JOÃO BATISTA CABRAL,37650,PREFEITO,2526,DEM
EDILSON FILGUEIRA DA SILVA,37628.66,PREFEITO,2368,PTB
EURIPEDES MOREIRA DA SILVA,37020,PREFEITO,1258,MDB
ALEX PAULO COUTINHO,36745,PREFEITO,1935,PP
JEAN INÁCIO SANTANA ARAÚJO,36600,PREFEITO,941,CIDADANIA
EVENILSON FERREIRA DANTAS,36433,PREFEITO,852,PDT
VAGNO MACHADO XAVIER,36320.01,PREFEITO,282,PDT
ESIO BENTO LEMOS DO PRADO,36000,PREFEITO,1325,DEM
EDSON VIEIRA DE PAULA,35505,PREFEITO,852,DEM
JOSEILE FARIAS DE MENDONÇA,35435.28,PREFEITO,900,PSC
ANTÔNIO CARLOS PIRES FERREIRA,35092.55,PREFEITO,129,PT
CARLOS ALBERTO SILVA,35038.94,PREFEITO,471,PT
ADEMAR ANTONIO DA SILVA,35000,PREFEITO,1601,PDT
RUBENS BATISTA DE QUEIROZ,34890,PREFEITO,914,PDT
ANTONIO PEREIRA DE ALMEIDA,34750,PREFEITO,321,PT
ADELÍCIA MOURA DA COSTA,34512.05,PREFEITO,1229,PSC
DIVINO FERREIRA DOS SANTOS,34319,PREFEITO,177,PRTB
DAVI ELKSON DE MELO,34184,PREFEITO,1024,PODE
ELIVONE RODRIGUES LEMOS,34110,PREFEITO,831,PP
MONICA MARIKO MORISSUGUI MELHADO,33816.1,PREFEITO,590,DEM
ALTAMIRO JOSE DE LIMA,33812.5,PREFEITO,1057,DEM
JOAO PIMENTA DE PADUA JUNIOR,33503.85,PREFEITO,972,MDB
ELEUSES RODRIGUES GONZAGA,33407.9,PREFEITO,846,PODE
AILTON JOSÉ BARRETOS,33390.5,PREFEITO,49,DEM
RICARDO CALIL FONSECA,33300,PREFEITO,612,PSD
DANILO IGOR DE OLIVEIRA RIOS,33000,PREFEITO,217,REPUBLICANOS
RAUF FRANCO,32810,PREFEITO,500,DEM
PAULO ROBERTO BERLIM PERES,32013.370000000003,PREFEITO,254,PSL
FAUSTO BARBOSA DE PAULA,32000,PREFEITO,722,MDB
DIEGO BARBOSA RESENDE,31888.55,PREFEITO,125,PSL
GUSTAVO GAYER MACHADO DE ARAUJO,31805,PREFEITO,45928,DC
MARIOZAM LEMES DA SILVA,31761.67,PREFEITO,585,PSL
SEBASTIÃO SANTANA DE OLIVEIRA,31538.65,PREFEITO,107,PSL
KLEVERTON BARBOSA DE MELLO,31525.05,PREFEITO,1204,DEM
ADEMILSON CORREIA DA TRINDADE,31477.08,PREFEITO,135,PSL
CLEIDISON CARVALHO DE OLIVEIRA,31188.65,PREFEITO,50,PSL
CLAYTON TELES DE MELO,30945,PREFEITO,2028,PSDB
AMÉRICO BARBOSA DA SILVA,30735.62,PREFEITO,111,PSDB
PÉRICLES RIBEIRO DE ÁVILA,30705,PREFEITO,545,DEM
RODRIGO GONÇALVES,30499,PREFEITO,346,PATRIOTA
MURILO MOREIRA TELES VALIM,30219.42,PREFEITO,1070,PSD
LUCIANO MARQUES SILVA,30150,PREFEITO,263,DEM
ALESSANDRO SILVERIO DE ALMEIDA,30100,PREFEITO,2994,PDT
MARLY DAVID REZENDE RODRIGUES,30010.8,PREFEITO,1467,REPUBLICANOS
PAULO ROGERIO DA FONSECA PALAZZIN,30000,PREFEITO,36,PATRIOTA
ROBERTO FELIX SANTANA,30000,PREFEITO,160,PSL
CLEBER DE LIMA CABRAL,29850,PREFEITO,999,PODE
JOSÉ ANTÔNIO FRANCISCO VIEIRA,29829.6,PREFEITO,371,DEM
MILSON MENDES SANTANA,29314,PREFEITO,1168,PSC
ALESANDRE LUIZ DE JESUS,29125,PREFEITO,148,PSD
ISRAEL MARIANO DE AZEVEDO,29109.7,PREFEITO,548,DEM
GUSTAVO SILVA DE OLIVEIRA,29000,PREFEITO,1627,DEM
CIRLEI DE ARAUJO COSTA,28951.760000000002,PREFEITO,178,PSL
RONDINELIO PEREIRA DOS SANTOS,28502,PREFEITO,1039,PROS
PAULO CEZAR DE OLIVEIRA,28400,PREFEITO,1379,PDT
WENDER APARECIDO CHAVES OSÓRIO,28328.08,PREFEITO,631,MDB
LEONARDO CESAR LIMA ARAUJO,28256.65,PREFEITO,3120,PATRIOTA
CRISTHYANO JUNQUEIRA RIBEIRO,28153.95,PREFEITO,436,PSD
GIRLEY GOMES COELHO,28100,PREFEITO,1518,PSC
ISMAEL MARTINS NETO,27676.56,PREFEITO,1647,DEM
ELI GONÇALVES SIQUEIRA,27670.1,PREFEITO,1734,MDB
REGINALDO ARAÚJO PIRES,27623.45,PREFEITO,425,PSC
DJAIR PEREIRA DA COSTA,27390,PREFEITO,1638,CIDADANIA
CARLOS LUIZ DE OLIVEIRA,27350.2,PREFEITO,2670,PP
SAMUEL CUENCA,27000,PREFEITO,148,PT
ROSANA BALESTRA PEREIRA DA SILVA,26999,PREFEITO,182,SOLIDARIEDADE
ANTONIO MATIAS PEREIRA,26807,PREFEITO,899,MDB
PAULO ROBERTO BARBOSA SILVA,26806.75,PREFEITO,732,PODE
FELICIANO RODRIGUES ROSA,26710,PREFEITO,101,PATRIOTA
ALVARO CONRADO FRANCISCO,26520,PREFEITO,496,PP
DANILO GLEIC ALVES DOS SANTOS,26354.5,PREFEITO,1727,CIDADANIA
JAIRO RODRIGUES PEREIRA,26300,PREFEITO,207,PT
GERALDO ANTÔNIO NETO,26007,PREFEITO,899,PP
ERICK MARCUS DOS REIS E CRUZ,25900,PREFEITO,868,MDB
SERGIANA DO NASCIMENTO PEREIRA,25297.72,PREFEITO,798,PSOL
OTANIEL VIEIRA DA SILVA,25290,PREFEITO,664,PP
JHAN RICARDO MACHADO MENDES,25164.53,PREFEITO,414,REPUBLICANOS
JONAS ROSA PEREIRA JUNIOR,25100,PREFEITO,369,DEM
BERNARDO XAVIER DOS SANTOS,25075.67,PREFEITO,155,PSOL
NUCIA KELLY DE FREITAS OLIVEIRA,25000,PREFEITO,571,CIDADANIA
JONATAS SILVA SOUZA,24893.25,PREFEITO,136,PSD
EVERALDO LUCIANO SANTANA,24839.899999999998,PREFEITO,38,PSL
FREDERICO ROSA DA COSTA,24791,PREFEITO,117,DEM
LEILA MARIA SOUSA E SILVA,24600,PREFEITO,366,PRTB
MARCILENE BATISTA DE BRITO COSTA,24600,PREFEITO,874,CIDADANIA
EDUARDO JESUS DE MOURA,24500,PREFEITO,604,PSD
RODRIGO FERREIRA GOULART,24414.9,PREFEITO,40,PSB
ITAMAR BATISTA NETO,24250,PREFEITO,532,PSC
GILMAR PEREIRA DE SOUZA,24150,PREFEITO,1432,DEM
DIOGO ROSA NUNES,24087.6,PREFEITO,2217,PODE
RICARDO FELICIO MONTEIRO,24013.5,PREFEITO,1717,REPUBLICANOS
CHRISTIAN AURELIANO SILVA,23640.010000000002,PREFEITO,650,DEM
WARLEM DOMINGOS DA PAZ,23600,PREFEITO,125,PDT
SUAIL MARTINS GONCALVES,23355,PREFEITO,138,PP
WALDIR FRANCISCO DE MOURA,23243,PREFEITO,2081,PSB
RONALDO BAFUTTO,23224.85,PREFEITO,910,PODE
IVON EBER GONÇALVES DO NASCIMENTO,23000,PREFEITO,227,DC
MAURO FRANCISCO DE CARVALHO,22861.37,PREFEITO,33,PSL
FRANCISCO DEURISTOM GONÇALVES DA SILVA,22850.85,PREFEITO,1646,PSD
JADIEL FERREIRA DE OLIVEIRA,22848.5,PREFEITO,1172,PL
ALEXANDRE POMPEU DE PINA,22500,PREFEITO,1096,PT
JEAN CARLO SILVA,22450,PREFEITO,105,PODE
RENATO CALDEIRA DE OLIVEIRA,22314,PREFEITO,751,MDB
REINALDO FERREIRA DE MORAIS,22307,PREFEITO,96,MDB
ZEDIMILTON FERREIRA DA SILVA,22200,PREFEITO,589,DEM
SUZIDARLEY NUNES BANDEIRA,22170.9,PREFEITO,1511,PTB
DENES CARLOS RESENDE DOS PASSOS,22049.03,PREFEITO,34,PSL
MACCIONE MACHADO DE SALUNES DA MATA,22000,PREFEITO,260,PDT
VANDERLEI BENATTI DA SILVA,22000,PREFEITO,87,MDB
MARQUES ALVES PORTO,21937,PREFEITO,1591,DEM
OCLAIR MARTINS DE ANDRADE,21768.29,PREFEITO,448,PSL
UBIRAJARA DE LIMA FERREIRA,21661,PREFEITO,264,PRTB
LUIZ ANTONIO DE TOLEDO CABRAL JUNIOR,21600,PREFEITO,79,PSD
ANA PAULA SOARES DOURADO,21501.7,PREFEITO,1702,DEM
KELLY CRISTINA GONÇALVES,21400,PREFEITO,184,PT
ROBERTO WILLIAN LUCY,21400,PREFEITO,1044,DEM
FABIO FRANCISCO REGES,21299.71,PREFEITO,777,PTC
LIOMAR JOSE DE FARIA,21291.6,PREFEITO,342,PSL
PAULO ROBERTO FERNANDES BRITO,21200,PREFEITO,49,PL
WILSON RIBEIRO PÓVOA,21188.65,PREFEITO,3,PSL
JOÃO BATISTA DAVI RIOS,21072.5,PREFEITO,1899,PDT
VALMIR FERREIRA DA CONCEIÇÃO,20898.45,PREFEITO,130,PATRIOTA
FRANCISCO DE ASSIS SOARES LIMA,20750,PREFEITO,462,PT
HEMERSON BORGES GONTIJO,20721.800000000003,PREFEITO,277,PSDB
MARCUS VINICIUS RODRIGUES SOUZA LINO,20330,PREFEITO,345,MDB
RENATO BATISTA DA SILVA,20186.25,PREFEITO,1077,MDB
UELSON NARCISO DIAS,20146.5,PREFEITO,397,PT
INACIO LOIOLA DE OLIVEIRA JUNIOR,20016.95,PREFEITO,397,PDT
ARMANDO CARDAQUIS DE ATHAIDES,20000,PREFEITO,13,PDT
DIORIVAN PEREIRA ROSA,20000,PREFEITO,107,PSB
ELIES ALVES PINTO,20000,PREFEITO,470,PDT
FRANCISCA ABADIA DE RESENDE,20000,PREFEITO,176,PSB
JANE BATISTA DA SILVA,20000,PREFEITO,29,MDB
MARCIO CARDOSO DA SILVA,20000,PREFEITO,87,PDT
UARLHE SILVA SIQUEIRA,20000,PREFEITO,27,PSD
WILLIAM AZEVEDO DOS SANTOS,20000,PREFEITO,11,PDT
LUIZ JOSE DA SILVA,19910,PREFEITO,2612,DEM
WESLEY BARBOSA DE OLIVEIRA,19530,PREFEITO,205,PL
OSMAR GUILHERME SILVA,19429.7,PREFEITO,146,PSOL
JORDENI ASSIS DA SILVA,19357,PREFEITO,127,PC do B
IVAN DA COSTA,18750,PREFEITO,130,PRTB
DOUGLAS RODRIGUES CARVALHO,18702,PREFEITO,519,PSOL
MANOEL BARBOSA GONCALVES,18262,PREFEITO,164,PSOL
BIRACY ANTONIO CAMARGO,18031.2,PREFEITO,432,REDE
WILLIAN XAVIER MACHADO,17880,PREFEITO,106,DEM
VALDIR INACIO DO PRADO,17834,PREFEITO,561,PP
ADEMILSON ANTONIO DA COSTA,17249.71,PREFEITO,671,DEM
DIOGO RODRIGUES DE SOUSA,17154.760000000002,PREFEITO,1723,PTB
ANGELO NATAL DA PAZ,17000,PREFEITO,1353,DEM
CLAUDIONOR RODRIGUES COELHO,17000,PREFEITO,1040,SOLIDARIEDADE
DONIZETE APARECIDO DA SILVA,17000,PREFEITO,214,PP
MATEUS ANTÔNIO DA COSTA BARBOSA,16980,PREFEITO,2724,SOLIDARIEDADE
DENES ANTONIO TAVEIRA DE SOUSA,16763.1,PREFEITO,266,PRTB
CRISTIANO QUINTINO SOARES,16690,PREFEITO,294,AVANTE
THIAGO FERNANDO NUNES DE CARVALHO,16550,PREFEITO,931,DEM
BRUNO FELIPE DE SOUZA MOURA,16466.68,PREFEITO,2395,PSOL
MARCELO FERNANDO RANULFO,16338.58,PREFEITO,46,PV
WELLISLLEI JOSE DA ROCHA,16000,PREFEITO,897,MDB
LEONARDO PEREIRA DOS SANTOS,15695,PREFEITO,441,CIDADANIA
ADEDY DE SOUSA ALVES SANTANA,15369.2,PREFEITO,326,SOLIDARIEDADE
FERNANDO RODRIGUES VIEIRA MARTINS,15302.25,PREFEITO,246,PATRIOTA
CLEIDE APARECIDA VELOSO DA COSTA,15100,PREFEITO,84,DEM
JOSE CARLOS DA SILVA ROSA,15000,PREFEITO,153,PSB
LUIZ ANTONIO DAS DORES,14744.76,PREFEITO,55,PT
ANTONIO LUIZ GONZAGA,14421.349999999999,PREFEITO,75,PT
OTACILIO DE PAULA NOVAES,14300,PREFEITO,94,PATRIOTA
ERASMO RIBEIRO GONÇALVES,13992,PREFEITO,478,CIDADANIA
MARCLEY JANIO GALDINO REIS,13288,PREFEITO,39,CIDADANIA
ANTÔNIO RUBENS FERNANDES,13242.45,PREFEITO,36,PT
WABER JOAQUIM DE OLIVEIRA,13175,PREFEITO,182,PSC
REGINALDO COSTA SANTOS,12860,PREFEITO,102,PROS
GASPAR ALVES DE SOUZA,12500,PREFEITO,98,PL
ADÃO CARLOS PEREIRA DA SILVA,12300,PREFEITO,210,PT
CLÉZIO CAMPOS DA COSTA,12250,PREFEITO,112,PTB
EDER DOS PASSOS PEREIRA,12200,PREFEITO,272,DEM
SÉRGIO DE SOUZA FERREIRA,12000,PREFEITO,150,PRTB
HELITOM ROBINS DIAS DE CASTRO,11740,PREFEITO,69,MDB
DANILO ALVES CAETANO,11350,PREFEITO,99,REPUBLICANOS
ADRIANO DE ARAÚJO,11100,PREFEITO,1390,PSB
FABIO ANTONIO DE OLIVEIRA JUNIOR,10623.55,PREFEITO,1052,UP
ACILIO ALVES DE AMORIM JUNIOR,10414.35,PREFEITO,478,DEM
